     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
         1,         0,         1,   0.009,PostSelectionSampler,c3e0f604c2216c7e9b0e4c661af668127b230715c8d8e0f8dde1b5b870c8e182,"{""c"":""expansion-H-double-injection-ghz"",""d1"":2,""d2"":11,""noise"":""uniform"",""p"":0.0001}",
      1296,         0,      1084,   0.014,PostSelectionSampler,c3e0f604c2216c7e9b0e4c661af668127b230715c8d8e0f8dde1b5b870c8e182,"{""c"":""expansion-H-double-injection-ghz"",""d1"":2,""d2"":11,""noise"":""uniform"",""p"":0.0001}",
      1024,         0,       862,   0.024,PostSelectionSampler,c3e0f604c2216c7e9b0e4c661af668127b230715c8d8e0f8dde1b5b870c8e182,"{""c"":""expansion-H-double-injection-ghz"",""d1"":2,""d2"":11,""noise"":""uniform"",""p"":0.0001}",
         1,         0,         1,   0.019,PostSelectionSampler,c7acf875fc42ce57fd6353c9f86489e21152ebb7ff195952dca4409ca856d2e9,"{""c"":""expansion-H-double-injection-ghz"",""d1"":2,""d2"":11,""noise"":""uniform_atoms"",""p"":0.0001}",
      1296,         0,       984,   0.014,PostSelectionSampler,c7acf875fc42ce57fd6353c9f86489e21152ebb7ff195952dca4409ca856d2e9,"{""c"":""expansion-H-double-injection-ghz"",""d1"":2,""d2"":11,""noise"":""uniform_atoms"",""p"":0.0001}",
         1,         0,         1,   0.011,PostSelectionSampler,9b331d45fd4d86a93b468f6f87cc97a04f17c980ffa1ac5374ab7fb4c2e2855c,"{""c"":""expansion-H-double-injection-ghz"",""d1"":2,""d2"":11,""noise"":""uniform_atoms"",""p"":0.0005}",
      1024,         0,       851,   0.025,PostSelectionSampler,c3e0f604c2216c7e9b0e4c661af668127b230715c8d8e0f8dde1b5b870c8e182,"{""c"":""expansion-H-double-injection-ghz"",""d1"":2,""d2"":11,""noise"":""uniform"",""p"":0.0001}",
       273,         0,       273,   0.014,PostSelectionSampler,4e4fd38ca913799a716d06ecfe06fc89ba709e1dc44f95e0d49f8689b97594d6,"{""c"":""expansion-H-double-injection-ghz"",""d1"":2,""d2"":11,""noise"":""uniform_atoms"",""p"":0.001}",
      1296,         0,      1295,   0.012,PostSelectionSampler,9b331d45fd4d86a93b468f6f87cc97a04f17c980ffa1ac5374ab7fb4c2e2855c,"{""c"":""expansion-H-double-injection-ghz"",""d1"":2,""d2"":11,""noise"":""uniform_atoms"",""p"":0.0005}",
         1,         0,         1,   0.010,PostSelectionSampler,7aff391c68932dafd604d1a378d3a49fb5becf7702a9199dc5c4aeef98e180bc,"{""c"":""expansion-H-double-injection-ghz"",""d1"":2,""d2"":11,""noise"":""uniform_atoms"",""p"":0.0003}",
